,NGA,MoralisingGods,DoctrinalMode
0,Big Island Hawaii,1800.0,1700.0
1,Cahokia,,800.0
2,Cambodian Basin,300.0,300.0
3,Central Java,800.0,800.0
4,Chuuk Islands,1800.0,1800.0
5,Cuzco,1400.0,1300.0
6,Deccan,-100.0,-2700.0
7,Finger Lakes,,
8,Garo Hills,1800.0,
9,Ghanaian Coast,1600.0,1600.0
10,Iceland,1000.0,1000.0
11,Kachi Plain,-300.0,-2500.0
12,Kansai,600.0,-300.0
13,Kapuasi Basin,1700.0,1700.0
14,Konya Plain,-1600.0,-6000.0
15,Latium,-500.0,-700.0
16,Lena River Valley,1400.0,
17,Lowland Andes,1600.0,
18,Middle Yellow River Valley,-1200.0,-1800.0
19,Niger Inland Delta,1100.0,1000.0
20,North Colombia,1100.0,
21,Orkhon Valley,500.0,500.0
22,Oro PNG,1800.0,
23,Paris Basin,-100.0,-100.0
24,Sogdiana,-200.0,-200.0
25,Southern China Hills,,
26,Susiana,-2200.0,-4300.0
27,Upper Egypt,-2900.0,-3300.0
28,Valley of Oaxaca,,-100.0
29,Yemeni Coastal Plain,400.0,400.0
